B,G,R,Label
67.8831457315439,80.21897870410456,163.9334374420187,a
80.99618918470289,93.50594142223217,143.79787863894202,a
110.81017466951849,113.52195538687297,135.8672826172422,a
79.75995235427735,84.60273070317453,190.44724498150188,a
97.70944953551282,123.32879484974941,209.70414158995115,a
57.53646104600694,85.29924858940973,112.0946117259838,a
124.07045202512896,118.67935672426493,221.81228365190705,a
68.96020212411032,65.31034252669039,100.97236247034401,a
60.726622730931645,64.343998725835,170.69799562938442,a
19.249835416666667,28.6557575,135.533205,a
14.710599365234375,92.92747517903646,163.7886173502604,o
63.85946933962264,120.35291961477988,200.76580336084905,o
56.88280579502222,99.27703895371924,183.17804450023698,o
61.56235985499423,106.94841013885473,121.48761310207892,o
10.765799574088748,71.2411635796355,208.04648334323824,o
28.756071235312305,89.59834763450834,121.08734442640693,o
37.290960210039486,80.50263386128691,118.51147410586046,o
115.29087082704294,179.90273153332015,246.13084218912647,o
119.29943834817304,168.93931264717278,236.46560833042867,o
33.93252685546875,94.01986735026041,176.11183919270835,o
